company,industry,change,year,rank,rq
TikTok,Tech,NA,2021,94,63
Spirit Airlines,Airline,NA,2021,NA,NA
Fox Corporation,Media,5,2021,99,59.2
Facebook,Tech,1,2021,98,60
Twitter,Tech,-2,2021,93,63.4
Wish.com,Ecommerce,NA,2021,97,60.7
The Trump Organization,Other,1,2021,100,56.9
Trader Joe's,Retail,NA,2022,1,82.4
HEB Grocery,Retail,NA,2022,2,82
Patagonia,Retail,2,2022,3,81.8
The Hershey Company,Food & Beverage,NA,2022,4,81.8
Wegmans,Groceries,-8,2022,5,80.6
Samsung,Tech,-25,2022,6,80.5
Amazon.com,Ecommerce,-3,2022,7,80.3
Toyota Motor Corporation,Automotive,-10,2022,8,80.3
Honda Motor Company,Automotive,7,2022,9,80.1
Sony,Tech,-24,2022,10,79.6
IBM,Tech,-28,2022,11,79.5
Tesla Motors,Automotive,4,2022,12,79.5
Blue Cross Blue Shield Association,Healthcare,NA,2022,13,79.2
Berkshire Hathaway,Other,-13,2022,14,79.1
Microsoft,Tech,-21,2022,15,79
The Home Depot,Retail,-29,2022,16,78.9
UPS,Logistics,-2,2022,17,78.9
USAA,Financial Services,6,2022,18,78.9
Publix Supermarkets,Groceries,-4,2022,19,78.8
Subaru,Automotive,6,2022,20,78.8
Apple,Tech,5,2022,21,78.6
Netflix,Tech,-16,2022,22,78.5
3M Company,Industrial,-2,2022,23,78.4
General Electric,Industrial,-16,2022,24,78.4
The Kroger Company,Groceries,-5,2022,25,78.4
Costco,Retail,17,2022,26,78.2
LG Corporation,Tech,NA,2022,27,78.2
Chick-fil-A,Food & Beverage,24,2022,28,78.1
Adidas,Retail,-20,2022,29,77.9
Walgreens,Retail,-16,2022,30,77.9
Google,Tech,-29,2022,31,77.8
Target,Retail,-9,2022,32,77.8
UnitedHealth Group,Healthcare,NA,2022,33,77.5
Lowe's,Retail,12,2022,34,77.3
Unilever,Consumer Goods,20,2022,35,77.3
CVS (CVS Health),Retail,12,2022,36,77.1
Procter & Gamble Co.,Consumer Goods,2,2022,37,77
Dell,Tech,NA,2022,38,76.9
FedEx Corporation,Logistics,6,2022,39,76.8
The Kraft Heinz Company,Food & Beverage,NA,2022,40,76.7
Ford Motor Company,Automotive,-9,2022,41,76.6
Nestle,Consumer Goods,13,2022,42,76.6
Starbucks Corporation,Food & Beverage,-22,2022,43,76.6
Pfizer,Pharma,37,2022,44,76.4
Stellantis,Automotive,NA,2022,45,76.3
American Express,Financial Services,2,2022,46,76
PepsiCo,Consumer Goods,27,2022,47,75.8
JPMorgan Chase & Co.,Financial Services,-6,2022,48,75.7
Hobby Lobby,Retail,-4,2022,49,75.5
Best Buy,Retail,2,2022,50,75.4
General Motors,Automotive,-17,2022,51,75.4
T-Mobile,Telecom,NA,2022,52,75.4
Yum! Brands,Food & Beverage,-17,2022,53,75.3
Nordstrom,Retail,-9,2022,54,74.8
State Farm Insurance,Financial Services,3,2022,55,74.6
Nike,Retail,-6,2022,56,74.5
Progressive Corporation,Insurance,NA,2022,57,74.4
The Coca-Cola Company,Food & Beverage,0,2022,58,74.4
Spotify,Media,NA,2022,59,74.3
Citigroup,Financial Services,17,2022,60,73.8
Kohl's,Retail,6,2022,61,73.8
Royal Dutch Shell,Energy,-7,2022,62,73.6
Macy's,Retail,-1,2022,63,73.5
Wendy's,Food & Beverage,-3,2022,64,73.5
The Walt Disney Company,Media,28,2022,65,73.4
Delta Air Lines,Airline,NA,2022,66,73.1
Verizon Communications,Telecom,6,2022,67,72.9
DoorDash,Food Delivery,2,2022,68,72.7
"Electronic Arts, Inc.",Tech,18,2022,69,72.3
Chipotle,Food & Beverage,-6,2022,70,72.2
AT&T,Telecom,-15,2022,71,71.9
Johnson & Johnson,Pharma,0,2022,72,71.8
